"primary_genre","count","estimated_revenue","min","max","average_roi","perc_profitable"
"Photo & Video",349,258051.58,-85900.0,173000.0,125152.44,92.0
"Productivity",178,270337.08,-819900.0,173000.0,108314.61,92.0
"Weather",72,245833.33,-7000.0,173000.0,118573.61,91.0
"Business",57,254736.84,-437900.0,173000.0,91754.39,89.0
"Health & Fitness",180,252000.0,-31900.0,173000.0,119990.56,88.0
"Entertainment",535,224803.74,-41900.0,173000.0,107980.0,88.0
"Utilities",248,226693.55,-231900.0,173000.0,105310.48,88.0
"Music",138,268695.65,-337900.0,158100.0,99955.07,88.0
"Games",3866,251088.98,-131900.0,173000.0,119657.42,87.0
"Travel",81,232592.59,-61900.0,173000.0,109450.62,87.0
"Shopping",122,242459.02,-7000.0,173000.0,120475.41,86.0
"Sports",114,208947.37,-51900.0,173000.0,96650.0,86.0
"Education",453,232582.78,-2837900.0,173000.0,90666.0,84.0
"Social Networking",167,209101.8,-7000.0,173000.0,99449.1,80.0
"News",75,208800.0,-7000.0,173000.0,99224.0,80.0
"Food & Drink",63,220952.38,-117900.0,173000.0,98782.54,80.0
"Lifestyle",144,198333.33,-21900.0,173000.0,91791.67,78.0
"Reference",64,237187.5,-461900.0,173000.0,84390.63,78.0
"Finance",104,175961.54,-21900.0,173000.0,79477.88,68.0
"Navigation",46,191086.96,-605900.0,173000.0,60121.74,63.0
"Medical",23,232173.91,-195900.0,173000.0,42191.3,60.0
"Book",112,178660.71,-99900.0,173000.0,73700.89,57.0
"Catalogs",10,156000.0,-7000.0,173000.0,63110.0,50.0
